Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,0
Journal of the American Medical Directors Association,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-the-american-medical-directors-association,Elsevier,1525-8610,1538-9375,2001-01-01,Present,1433
Current Diabetes Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11892,Current Medicine Group LLC,1534-4827,1539-0829,2001-01-01,Present,1434
Ambulatory Pediatrics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/ambulatory-pediatrics,Elsevier,1530-1567,1539-4409,2001-01-01,2008-12-31,1435
Disaster Management & Response,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/disaster-management-and-response,Mosby,1540-2487,1540-2495,2003-01-01,2007-12-31,1436
Nurse Leader,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nurse-leader,Mosby,1541-4612,1541-4620,2003-01-01,Present,1437
Industrial & Engineering Chemistry (Analytical Edition),ACS Legacy Archives,https://pubs.acs.org/loi/iecac0,American Chemical Society,0096-4484,1541-4655,1929-01-01,1946-12-01,1438
Industrial & Engineering Chemistry Fundamentals,ACS Legacy Archives,https://pubs.acs.org/loi/iecfa7,American Chemical Society,0196-4313,1541-4833,1962-02-01,1986-11-01,1439
Industrial & Engineering Chemistry Product Research and Development,ACS Legacy Archives,https://pubs.acs.org/loi/iepra6,American Chemical Society,0196-4321,1541-4841,1978-03-01,1986-12-01,1440
Industrial & Engineering Chemistry Process Design and Development,ACS Legacy Archives,https://pubs.acs.org/loi/iepdaw,American Chemical Society,0196-4305,1541-5716,1962-01-01,1986-10-01,1441
Industrial & Engineering Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/iechad,American Chemical Society,0019-7866,1541-5724,1923-01-01,1970-12-01,1442
Journal of chemical documentation,ACS Legacy Archives,https://pubs.acs.org/loi/jci001,American Chemical Society,0021-9576,1541-5732,1961-01-01,1974-11-01,1443
The Journal of Physical Chemistry,ACS Legacy Archives,https://pubs.acs.org/loi/jpchax,American Chemical Society,0022-3654,1541-5740,1951-01-01,1995-12-31,1444
The Journal of Physical Chemistry,ACS (CRKN),https://pubs.acs.org/loi/jpchax,American Chemical Society,0022-3654,1541-5740,1996-01-01,1996-12-31,1445
Industrial & Engineering Chemistry Chemical & Engineering Data Series,ACS Legacy Archives,https://pubs.acs.org/loi/iecjc0,American Chemical Society,0095-9146,1541-5759,1956-01-01,1958-10-01,1446
Journal of Nutrition,Oxford Journals (CRKN),https://academic.oup.com/jn/issue,Oxford University Press,0022-3166,1541-6100,1996-01-01,Present,1447
Journal of foot and ankle surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-journal-of-foot-and-ankle-surgery,W B Saunders Company,1067-2516,1542-2224,1995-01-01,Present,1448
Journal of the European Economic Association,Oxford Journals (CRKN),https://academic.oup.com/jeea/issue,Oxford University Press,1542-4766,1542-4774,2003-01-01,Present,1449
Journal of Equine Veterinary Science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-equine-veterinary-science,Elsevier Science,0737-0806,1542-7412,1993-01-01,Present,1450
Clinical Gastroenterology and Hepatology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-gastroenterology-and-hepatology,W B Saunders Company,1542-3565,1542-7714,2003-01-01,Present,1451
Journal of Cancer Education : The Official Journal of the American Association for Cancer Education,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13187,Springer Science+Business Media B.V.,0885-8195,1543-0154,2007-01-01,Present,1452
Seminars in integrative medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-integrative-medicine,Elsevier Science,1543-1150,1543-1169,2003-03-01,2005-12-31,1453
"JOM Journal of the Minerals, Metals and Materials Society",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11837,Springer Science+Business Media B.V.,1047-4838,1543-1851,1997-01-01,Present,1454
Journal of electronic materials,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11664,Springer Science+Business Media B.V.,0361-5235,1543-186X,1997-01-01,Present,1455
Metallurgical & Materials Transactions Part B,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11663,Springer Science+Business Media B.V.,1073-5615,1543-1916,1997-01-01,Present,1456
Metallurgical and Materials Transactions A,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11661,Springer Science+Business Media B.V.,1073-5623,1543-1940,1997-01-01,Present,1457
Learning & Behavior,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13420,Springer Nature,1543-4494,1543-4508,1997-01-01,Present,1458
In Vitro Cellular & Developmental Biology - Animal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11626,Society for In Vitro Biology,1071-2690,1543-706X,1997-01-01,Present,1459
Molecular pharmaceutics,ACS (CRKN),https://pubs.acs.org/journal/mpohbp,American Chemical Society,1543-8384,1543-8392,2004-01-01,Present,1460
Journal of Thermal Spray Technology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11666,Springer Science+Business Media B.V.,1059-9630,1544-1016,1997-01-01,Present,1461
Journal of Materials Engineering and Performance,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11665,Springer Science+Business Media B.V.,1059-9495,1544-1024,1997-01-01,Present,1462
Journal of Phase Equilibria,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12385,Springer Verlag New York Inc,1054-9714,1544-1032,1997-01-01,2003-12-31,1463
Current Osteoporosis Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11914,Current Medicine Group LLC,1544-1873,1544-2241,2003-01-01,Present,1464
Current Prostate Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11918,Current Medicine Group LLC,1544-1865,1544-225X,2003-01-01,2009-12-31,1465
Finance research letters,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/finance-research-letters,Elsevier Science Limited,1544-6123,1544-6131,2004-03-01,Present,1466
Journal of Hand Therapy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-hand-therapy,Elsevier,0894-1130,1545-004X,1995-01-01,Present,1467
Mammalian Species,Oxford Journals (CRKN),https://academic.oup.com/mspecies/issue,Oxford University Press,0076-3519,1545-1410,1996-05-01,Present,1468
Wilderness & Environmental Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/wilderness-and-environmental-medicine,Elsevier,1080-6032,1545-1534,1995-02-01,Present,1469
Journal of Mammalogy,Oxford Journals (CRKN),https://academic.oup.com/jmammal/issue,Oxford University Press,0022-2372,1545-1542,1996-02-01,Present,1470
Children & Schools,Oxford Journals (CRKN),https://academic.oup.com/cs/issue,Oxford University Press,1532-8759,1545-682X,2000-10-01,Present,1471
Social Work Research,Oxford Journals (CRKN),https://academic.oup.com/swr/issue,Oxford University Press,1070-5309,1545-6838,1996-03-01,Present,1472
Social Work,Oxford Journals (CRKN),https://academic.oup.com/sw/issue,Oxford University Press,0037-8046,1545-6846,1996-01-01,Present,1473
Health and Social Work,Oxford Journals (CRKN),https://academic.oup.com/hsw/issue,Oxford University Press,0360-7283,1545-6854,1996-02-01,Present,1474
Psychosomatics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/psychosomatics,Elsevier,0033-3182,1545-7206,1995-01-01,Present,1475
The American Journal of Geriatric Psychiatry: Official Journal of the American Association for Geriatric Psychiatry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-american-journal-of-geriatric-psychiatry,Elsevier,1064-7481,1545-7214,1994-12-01,Present,1476
Academic Psychiatry,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/40596,Springer International Publishing,1042-9670,1545-7230,1997-01-01,Present,1477
Current Heart Failure Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11897,Current Medicine Group LLC,1546-9530,1546-9549,2004-01-01,Present,1478
Current HIV/AIDS Reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11904,Springer Science+Business Media B.V.,1548-3568,1548-3576,2004-01-01,Present,1479
Current Sexual Health Report,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11930,Springer,1548-3584,1548-3592,2004-01-01,Present,1480
Ophthalmology (Elsevier),ScienceDirect (CRKN),https://www.sciencedirect.com/journal/ophthalmology,Elsevier,0161-6420,1549-4713,1995-01-01,Present,1481
Journal of chemical information and modeling,ACS Legacy Archives,https://pubs.acs.org/loi/jcisd8,American Chemical Society,1549-9596,1549-960X,1961-01-01,1995-12-31,1482
Journal of chemical information and modeling,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,1549-9596,1549-960X,2005-01-01,Present,1483
Journal of chemical theory and computation,ACS (CRKN),https://pubs.acs.org/journal/jctcce,American Chemical Society,1549-9618,1549-9626,2005-01-01,Present,1484
"Nanomedicine: Nanotechnology, Biology and Medicine",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nanomedicine-nanotechnology-biology-and-medicine,Elsevier,1549-9634,1549-9642,2005-03-01,Present,1485
AAPS journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12248,Springer Science+Business Media B.V.,,1550-7416,1999-01-01,Present,1486
Sleep,Oxford Journals (CRKN),https://academic.oup.com/sleep/issue,Oxford University Press,0161-8105,1550-9109,1996-01-01,Present,1487
"NanoBiotechnology : the journal at the intersection of nanotechnology, molecular biology, and biomedical sciences",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12030,Springer Science+Business Media B.V.,1551-1286,1551-1294,2005-01-01,2009-12-31,1488
Alzheimer's & Dementia: The Journal of the Alzheimer's Association,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/alzheimers-and-dementia,Elsevier Health Sciences,1552-5260,1552-5279,2005-07-01,Present,1489
The Annals of Thoracic Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-annals-of-thoracic-surgery,Elsevier,0003-4975,1552-6259,1995-01-01,Present,1490
Journal of the Academy of Marketing Science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11747,Springer Science+Business Media B.V.,0092-0703,1552-7824,1997-01-01,Present,1491
Journal of minimally invasive gynecology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-minimally-invasive-gynecology,Elsevier Science Limited,1553-4650,1553-4669,2005-01-01,Present,1492
Sexuality Research and Social Policy,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13178,Springer Science+Business Media B.V.,1868-9884,1553-6610,2004-01-01,Present,1493
European heart journal supplements: Journal of the European Society of Cardiology,Oxford Journals (CRKN),https://academic.oup.com/eurheartjsupp/issue,Oxford University Press,1520-765X,1554-2815,2001-05-01,Present,1494
Behavior Research Methods,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13428,Springer Science+Business Media B.V.,1554-351X,1554-3528,1997-01-01,Present,1495
Journal of Neuropathology & Experimental Neurology,Oxford Journals (CRKN),https://academic.oup.com/jnen/issue,Oxford University Press,0022-3069,1554-6578,1996-01-01,Present,1496
Medicinal Chemistry Research,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/44,Springer Science+Business Media B.V.,1054-2523,1554-8120,2004-01-01,Present,1497
ACS Chemical Biology,ACS (CRKN),https://pubs.acs.org/journal/acbcct,American Chemical Society,1554-8929,1554-8937,2006-02-01,Present,1498
The International Entrepreneurship and Management Journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11365,Springer Science & Business Media,1554-7191,1555-1938,2005-01-01,Present,1499
Biological Theory,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13752,Springer Science+Business Media B.V.,1555-5542,1555-5550,2006-01-01,Present,1500
"Polymer Science, Series A",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11498,Springer Science+Business Media B.V.,0965-545X,1555-6107,2006-01-01,Present,1501
"Polymer Science, Series B",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11499,Springer Science+Business Media B.V.,1560-0904,1555-6123,2006-01-01,Present,1502
"Polymer Science, Series C",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11500,Springer Science+Business Media B.V.,1811-2382,1555-614X,2006-01-01,Present,1503
Paleontological Journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11492,Springer Science+Business Media B.V.,0031-0301,1555-6174,2006-01-01,Present,1504
The Physics of Metals and Metallography,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11508,Springer Science+Business Media B.V.,0031-918X,1555-6190,2006-01-01,Present,1505
Pattern Recognition and Image Analysis,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11493,Springer Science+Business Media B.V.,1054-6618,1555-6212,2006-01-01,Present,1506
Petroleum Chemistry,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11494,Springer Science+Business Media B.V.,0965-5441,1555-6239,2006-01-01,Present,1507
Russian Metallurgy (Metally),SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11505,Springer Science+Business Media B.V.,0036-0295,1555-6255,2006-01-01,Present,1508
"Stratigraphy and Geological Correlation=Stratigrafiya, Geologicheskaya Korrelyatsiya",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11506,Springer Science+Business Media B.V.,0869-5938,1555-6263,2006-01-01,Present,1509
Izvestiya Atmospheric and Oceanic Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11485,Springer Science+Business Media B.V.,0001-4338,1555-628X,2006-01-01,Present,1510
Thermal Engineering,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11509,Springer Science+Business Media B.V.,0040-6015,1555-6301,2006-01-01,Present,1511
Journal of Ichthyology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11489,Springer Science+Business Media B.V.,0032-9452,1555-6425,2006-01-01,Present,1512
Geomagnetism and Aeronomy,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11478,Springer Science+Business Media B.V.,0016-7932,1555-645X,2006-01-01,Present,1513
Geology of Ore Deposits,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11477,Springer Science+Business Media B.V.,1075-7015,1555-6476,2006-01-01,Present,1514
Herald of the Russian Academy of Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11480,Springer Science+Business Media B.V.,1019-3316,1555-6492,2006-01-01,Present,1515
"Izvestiya, Russian Academy of Sciences. Physics of the Solid Earth",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11486,Springer Science+Business Media B.V.,1069-3513,1555-6506,2006-01-01,Present,1516
Journal of Computer and Systems Sciences International,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11488,Springer Science+Business Media B.V.,1064-2307,1555-6530,2006-01-01,Present,1517
Journal of Communications Technology and Electronics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11487,Springer Science+Business Media B.V.,1064-2269,1555-6557,2006-01-01,Present,1518
Laser Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11490,Maik Nauka/Interperiodica,1054-660X,1555-6611,2006-01-01,2012-12-31,1519
Russian Journal of Mathematical Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11503,Springer Science+Business Media B.V.,1061-9208,1555-6638,2006-01-01,Present,1520
Biophysics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11439,Springer Science+Business Media B.V.,0006-3509,1555-6654,2006-01-01,Present,1521
Computational Mathematics and Mathematical Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11470,Springer Science+Business Media B.V.,0965-5425,1555-6662,2006-01-01,Present,1522
Entomological review,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11474,Springer Science+Business Media B.V.,0013-8738,1555-6689,2006-01-01,Present,1523
American Journal of Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-american-journal-of-medicine,Elsevier,0002-9343,1555-7162,1995-01-01,Present,1524
Journal of Radiology Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-radiology-nursing,Elsevier,1546-0843,1555-9912,2004-03-01,Present,1525
Journal of Career Development (Springer),SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10871,Springer Science+Business Media B.V.,0894-8453,1556-0856,1997-01-01,2005-12-31,1526
Journal of Career Development (Springer),SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/10871,Springer Science+Business Media B.V.,0894-8453,1556-0856,1986-09-01,1996-06-01,1527
Neurocritical care,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12028,Springer,1541-6933,1556-0961,2004-01-01,Present,1528
International journal of computer-supported collaborative learning,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11412,Springer Science+Business Media B.V.,1556-1607,1556-1615,2006-01-01,Present,1529
Metacognition and learning,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11409,Springer Science+Business Media B.V.,1556-1623,1556-1631,2006-01-01,Present,1530
Eurasian Soil Science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11475,Springer Science+Business Media B.V.,1064-2293,1556-195X,2006-01-01,Present,1531
Geochemistry International,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11476,Springer Science+Business Media B.V.,0016-7029,1556-1968,2006-01-01,Present,1532
Geotectonics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11479,Springer Science+Business Media B.V.,0016-8521,1556-1976,2006-01-01,Present,1533
Petrology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11495,Springer Science+Business Media B.V.,0869-5911,1556-2085,2006-01-01,Present,1534
"Forensic Science, Medicine, and Pathology",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12024,Humana Press Incorporated,1547-769X,1556-2891,2005-01-01,Present,1535
Combustion and flame,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/combustion-and-flame,Elsevier,0010-2180,1556-2921,1995-01-01,Present,1536
The Journal of Behavioral Health Services & Research,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11414,Springer Science+Business Media B.V.,1094-3412,1556-3308,1997-01-01,Present,1537
HSS Journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11420,Springer Verlag,1556-3316,1556-3324,2005-01-01,Present,1538
Journal of chiropractic humanities,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-chiropractic-humanities,Elsevier,,1556-3499,1995-01-01,Present,1539
Journal of chiropractic medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-chiropractic-medicine,Elsevier,1556-3707,1556-3715,2002-12-01,Present,1540
Current colorectal cancer reports,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11888,Current Medicine Group LLC,1556-3790,1556-3804,2005-01-01,Present,1541
Fertility and Sterility,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/fertility-and-sterility,Elsevier,0015-0282,1556-5653,1997-01-01,Present,1542
"Educational Technology, Research and Development",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11423,Springer Science+Business Media B.V.,1042-1629,1556-6501,1997-01-01,Present,1543
Food Biophysics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11483,Springer Science+Business Media B.V.,1557-1858,1557-1866,2006-01-01,Present,1544
International journal of mental health and addiction,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11469,Springer Science+Business Media B.V.,1557-1874,1557-1882,2006-01-01,Present,1545
Journal of NeuroImmune Pharmacology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11481,Springer Verlag New York Inc,1557-1890,1557-1904,2006-01-01,Present,1546
Journal of Immigrant and Minority Health,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10903,Springer Science+Business Media B.V.,1557-1912,1557-1920,1999-01-01,Present,1547
Journal of Superconductivity and Novel Magnetism,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/10948,Plenum Press,1557-1939,1557-1947,1997-01-01,Present,1548
Plasmonics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11468,Springer Science+Business Media B.V.,1557-1955,1557-1963,2006-01-01,Present,1549
Teaching and Learning in Nursing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/teaching-and-learning-in-nursing,Elsevier Science Limited,1557-3087,1557-2013,2006-06-01,Present,1550
Sensing and Imaging: An International Journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11220,Springer Science+Business Media B.V.,1557-2064,1557-2072,2006-01-01,Present,1551
Journal of Maritime Archaeology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11457,Springer Science+Business Media B.V.,1557-2285,1557-2293,2006-01-01,Present,1552
Journal of Heart and Lung Transplantation,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-journal-of-heart-and-lung-transplantation,Elsevier Health Sciences,1053-2498,1557-3117,1999-01-01,Present,1553
Integrative and comparative biology,Oxford Journals (CRKN),https://academic.oup.com/icb/issue,Oxford University Press,1540-7063,1557-7023,2002-02-01,Present,1554
Disease-a-Month,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/disease-a-month,Mosby,0011-5029,1557-8194,1995-01-01,Present,1555
Journal of Critical Care,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-critical-care,W B Saunders Company,0883-9441,1557-8615,1993-03-01,Present,1556
Seminars in pediatric infectious diseases,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-pediatric-infectious-diseases,Elsevier Science,1045-1870,1557-9387,1995-01-01,2006-10-31,1557
Operative Techniques in Otolaryngology-Head and Neck Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/operative-techniques-in-otolaryngology-head-and-neck-surgery,W B Saunders Company,1043-1810,1557-9395,1993-03-01,Present,1558
Operative Techniques in Neurosurgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/operative-techniques-in-neurosurgery,W B Saunders Company,1092-440X,1557-9409,1998-03-01,2005-12-31,1559
Operative Techniques in Sports Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/operative-techniques-in-sports-medicine,W B Saunders Company,1060-1872,1557-9794,1993-01-01,Present,1560
Techniques in vascular and interventional radiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/techniques-in-vascular-and-interventional-radiology,Elsevier Science,1089-2516,1557-9808,1998-03-01,Present,1561
Transplantation Reviews,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/transplantation-reviews,W B Saunders Company,0955-470X,1557-9816,1993-01-01,Present,1562
"Seminars in Anesthesia, Perioperative Medicine and Pain",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-anesthesia-perioperative-medicine-and-pain,Elsevier Science,1547-9951,1558-0466,1995-03-01,2007-12-31,1563
Advances in Small Animal Medicine & Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-small-animal-medicine-and-surgery,Elsevier,1041-7826,1558-0482,2004-01-01,Present,1564
Operative Techniques in Plastic and Reconstructive Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/operative-techniques-in-plastic-and-reconstructive-surgery,W B Saunders Company,1071-0949,1558-0741,1994-05-01,2002-11-30,1565
Seminars in Perinatology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-perinatology,Elsevier,0146-0005,1558-075X,1995-02-01,Present,1566
Seminars in Pediatric Neurology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-pediatric-neurology,Elsevier Science,1071-9091,1558-0776,1995-03-01,Present,1567
Automatic Control and Computer Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11950,Springer Science+Business Media B.V.,0146-4116,1558-108X,2007-01-01,Present,1568
Neurobiology of aging,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/neurobiology-of-aging,Elsevier,0197-4580,1558-1497,1995-01-01,Present,1569
Progress in Pediatric Cardiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-pediatric-cardiology,Elsevier,1058-9813,1558-1519,1995-02-01,Present,1570
Optometry - Journal of the American Optometric Association (Elsevier),ScienceDirect (CRKN),https://www.sciencedirect.com/journal/optometry-journal-of-the-american-optometric-association,Elsevier,1529-1839,1558-1527,2004-01-01,2012-01-31,1571
Asthma magazine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/asthma-magazine,Elsevier Science,1088-0712,1558-1543,1996-07-01,2006-02-28,1572
Clinical techniques in small animal practice,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-techniques-in-small-animal-practice,W B Saunders Company,1096-2867,1558-2272,1998-02-01,2007-11-30,1573
Clinical Pediatric Emergency Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-pediatric-emergency-medicine,Elsevier,1522-8401,1558-2310,1999-12-01,Present,1574
Learning Inquiry,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11519,Springer Science+Business Media B.V.,1558-2973,1558-2981,2007-01-01,2009-12-31,1575
Newborn and Infant Nursing Reviews,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/newborn-and-infant-nursing-reviews,W B Saunders Company,1527-3369,1558-352X,2001-03-01,Present,1576
Operative Techniques in General Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/operative-techniques-in-general-surgery,W B Saunders Company,1524-153X,1558-383X,1999-09-01,2008-12-31,1577
Operative Techniques in Orthopaedics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/operative-techniques-in-orthopaedics,W B Saunders Company,1048-6666,1558-3848,1995-01-01,Present,1578
Seminars in Avian and Exotic Pet Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-avian-and-exotic-pet-medicine,Elsevier Science,1055-937X,1558-3864,1995-01-01,2005-10-31,1579
Seminars in Arthroplasty,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-arthroplasty,Elsevier Science,1045-4527,1558-4437,2003-07-01,Present,1580
Seminars in Spine Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-spine-surgery,Elsevier Science,1040-7383,1558-4496,2003-12-01,Present,1581
Seminars in Vascular Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-vascular-surgery,Elsevier Science,0895-7967,1558-4518,2002-03-01,Present,1582
Techniques in regional anesthesia and pain management,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/techniques-in-regional-anesthesia-and-pain-management,Elsevier Science,1084-208X,1558-4534,1997-01-01,Present,1583
Seminars in cerebrovascular diseases and stroke,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-cerebrovascular-diseases-and-stroke,Elsevier Science,1528-9931,1558-4577,2001-03-01,2005-09-30,1584
Seminars in Colon and Rectal Surgery,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-colon-and-rectal-surgery,W B Saunders Company,1043-1489,1558-4585,2003-06-01,Present,1585
Seminars in Nuclear Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-nuclear-medicine,Elsevier Science,0001-2998,1558-4623,1995-01-01,Present,1586
Seminars in Orthodontics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/seminars-in-orthodontics,Elsevier Science,1073-8746,1558-4631,1995-03-01,Present,1587
