Name,Year,DOI,DOI-URL,Accessible
ACS Applied Materials & Interfaces,2009,10.1021/am900452c,https://doi.org/10.1021/am900452c,False
ACS Applied Materials & Interfaces,2010,10.1021/am100687n,https://doi.org/10.1021/am100687n,False
ACS Applied Materials & Interfaces,2011,10.1021/am200273s,https://doi.org/10.1021/am200273s,False
ACS Applied Materials & Interfaces,2012,10.1021/am3003507,https://doi.org/10.1021/am3003507,False
ACS Applied Materials & Interfaces,2013,10.1021/am4034119,https://doi.org/10.1021/am4034119,False
ACS Applied Materials & Interfaces,2014,10.1021/am4036306,https://doi.org/10.1021/am4036306,False
ACS Applied Materials & Interfaces,2015,10.1021/acsami.5b01338,https://doi.org/10.1021/acsami.5b01338,False
ACS Applied Materials & Interfaces,2016,10.1021/acsami.6b14466,https://doi.org/10.1021/acsami.6b14466,False
ACS Applied Materials & Interfaces,2017,10.1021/acsami.7b10863,https://doi.org/10.1021/acsami.7b10863,False
ACS Applied Materials & Interfaces,2018,10.1021/acsami.7b17565,https://doi.org/10.1021/acsami.7b17565,False
ACS Applied Materials & Interfaces,2019,10.1021/acsami.8b19280,https://doi.org/10.1021/acsami.8b19280,False
